id,name,teachers,course_code,semester,program_code,program
130330,79747_tr4347_003985_vlvh đồ án tốt nghiệp (tr4347)_nghiêm phan thiện quân (vlvh_hk252) [t01],nghiêm phan thiện quân,tr4347,hk252,vlvh,t01
134303,79747_ch5509_001903_sdh khoa học cảm quan (ch5509)_nguyễn hoàng dũng (sdh_hk252) [ch01],nguyễn hoàng dũng,ch5509,hk252,sdh,ch01
135006,79747_lcn_hc_001903_traodoi lớp chủ nhiệm (lcn)_nguyễn hoàng dũng (traodoi_hk252),nguyễn hoàng dũng,,hk252,,
136074,79747_im7935_002509_tscq luận án tiến sĩ - chuẩn bị (im7935)_nguyễn mạnh tuân (tscq_hk252) [ns02],nguyễn mạnh tuân,im7935,hk252,tscq,ns02
130526,"79747_ph1007_003177_clc general physics labs (ph1007)_trịnh trần hồng duyên (clc_hk252) [cc07,cc09,cc10,cc15,cc24]",trịnh trần hồng duyên,ph1007,hk252,clc,"cc07,cc09,cc10,cc15,cc24"
130502,"79747_ph1007_003177_cq thí nghiệm vật lý (ph1007)_trịnh trần hồng duyên (cq_hk252) [a03,a04]",trịnh trần hồng duyên,ph1007,hk252,cq,"a03,a04"
132461,79747_ch6059_003127_sdh luận văn thạc sĩ nghiên cứu (ch6059)_lê vũ hà (sdh_hk252) [ch01],lê vũ hà,ch6059,hk252,sdh,ch01
131402,79747_ch6055_003127_sdh đề án tốt nghiệp (ch6055)_lê vũ hà (sdh_hk252) [ch01],lê vũ hà,ch6055,hk252,sdh,ch01
131238,"79747_ee3010_003303_vlvh máy điện (thí nghiệm) (ee3010)_nguyễn thanh tâm (vlvh_hk252) [n1h1,n1h2,n1h3,n1h4,n1ht]",nguyễn thanh tâm,ee3010,hk252,vlvh,"n1h1,n1h2,n1h3,n1h4,n1ht"
131093,"79747_ee2018_003303_vlvh cơ sở kỹ thuật điện (thí nghiệm) (ee2018)_nguyễn thanh tâm (vlvh_hk252) [n1h1,n1h2,n1h3,n1ht]",nguyễn thanh tâm,ee2018,hk252,vlvh,"n1h1,n1h2,n1h3,n1ht"
130457,"79747_la1055_010492_cq tiếng nhật - kỹ năng ngôn ngữ 2 (la1055)_lê quốc trí (cq_hk252) [a01,a02,a03,a04]",lê quốc trí,la1055,hk252,cq,"a01,a02,a03,a04"
130497,79747_as5115_003435_sdh giải tích hàm nâng cao (as5115)_nguyễn hữu hiệp (sdh_hk252) [ch01],nguyễn hữu hiệp,as5115,hk252,sdh,ch01
132048,"79747_la2019_004228_cq tiếng nhật 4 (la2019)_nguyễn thị anh nguyệt (cq_hk252) [a03,a04]",nguyễn thị anh nguyệt,la2019,hk252,cq,"a03,a04"
132813,79747_ci5137_001910_sdh quản lý dự án xây dựng nâng cao (ci5137)_lương đức long (sdh_hk252) [ch01],lương đức long,ci5137,hk252,sdh,ch01
131693,79747_ch6087_004268_sdh luận văn thạc sĩ nghiên cứu (ch6087)_trần văn nguyên (sdh_hk252) [ch01],trần văn nguyên,ch6087,hk252,sdh,ch01
130849,79747_ee5317_003176_sdh số học máy tính: giải thuật và thiết kế phần cứng (ee5317)_trần hoàng linh (sdh_hk252) [ch01],trần hoàng linh,ee5317,hk252,sdh,ch01
130983,79747_as6083_002730_sdh đề án tốt nghiệp (as6083)_trần trung nghĩa (sdh_hk252) [ch01],trần trung nghĩa,as6083,hk252,sdh,ch01
131736,79747_as6093_002730_sdh luận văn thạc sĩ nghiên cứu chuyên sâu - phần 3 (as6093)_trần trung nghĩa (sdh_hk252) [ch01],trần trung nghĩa,as6093,hk252,sdh,ch01
134532,79747_lcn_dd_003785_vlvh lớp chủ nhiệm (lcn)_lê an nhuận (vlvh_hk252),lê an nhuận,,hk252,vlvh,
130649,79747_ee5207_003176_sdh kiến trúc máy tính nâng cao (ee5207)_trần hoàng linh (sdh_hk252) [ch01],trần hoàng linh,ee5207,hk252,sdh,ch01
130657,79747_ci5139_002868_sdh quản lý rủi ro trong xây dựng (ci5139)_đỗ tiến sỹ (sdh_hk252) [ch01],đỗ tiến sỹ,ci5139,hk252,sdh,ch01
136050,79747_ci7577_002868_tscq luận án tiến sĩ - chuẩn bị (ci7577)_đỗ tiến sỹ (tscq_hk252) [ns01],đỗ tiến sỹ,ci7577,hk252,tscq,ns01
131476,79747_en5089_002903_sdh ứng dụng công nghệ vật liệu trong kỹ thuật môi trường (en5089)_nguyễn nhật huy (sdh_hk252) [ch01],nguyễn nhật huy,en5089,hk252,sdh,ch01
136064,"79747_en7243_002903_tscq luận án tiến sĩ - chuẩn bị (en7243)_nguyễn nhật huy (tscq_hk252) [ns01,ns03]",nguyễn nhật huy,en7243,hk252,tscq,"ns01,ns03"
130333,"79747_en5105_001943_sdh xử lý nước thải cho một số ngành công nghiệp điển hình ở việt nam: thực phẩm, dệt nhuộm, xi mạ (en5105)_đặng viết hùng (sdh_hk252) [ch01]",đặng viết hùng,en5105,hk252,sdh,ch01
