code,name,credit,program,size,language,teacher,dayOfWeek,slot,room,branch,weeks
ci2141,bản đồ học,3,l01,13/80,v,châu phương khanh,thứ 6,- - - - - - - - - 10 11 - - - - -,h6-110,2,
im5067,quản trị tài chánh,3,ch01,20/60,v,nguyễn thu hiền,thứ 3,- - - - - - - - - - - - 13 14 15 -,b8-303,1,
co5117,khai phá dữ liệu,3,ch01,80/80,v,trần minh quang,thứ 2,- - - - - - - - - - - - 13 14 15 -,b4-305,1,
as4325,đề cương luận văn tn,0,t01,1/500,v,trần thị thu hạnh,chưa biết,--,------,1,
me5123,thiết kế và phân tích cơ cấu nâng cao,3,ch01,11/60,v,bùi trọng hiếu,thứ 5,- - - - - - - - - - - - 13 14 15 -,b4-401,1,
ci5249,phương pháp phần tử hữu hạn nâng cao,3,ch01,7/56,v,nguyễn thái bình,thứ 7,- - 3 4 5 - - - - - - - - - - -,b1-305,1,
ch4053,đồ án chuyên ngành,2,a01,0/900,v,chưa/đang phân công,chưa biết,--,------,1,
ch4053,đồ án chuyên ngành,2,cc01,9/60,v,chưa/đang phân công,chưa biết,--,------,1,
ch4053,đồ án chuyên ngành,2,l01,21/40,v,chưa/đang phân công,chưa biết,--,------,2,
ch4053,đồ án chuyên ngành,2,t01,0/500,v,chưa/đang phân công,chưa biết,--,------,1,
ee5027,luận văn tốt nghiệp,9,a01,3/9000,v,,chưa biết,--,------,1,
ee5027,luận văn tốt nghiệp,9,cc01,0/900,v,chưa/đang phân công,chưa biết,--,------,1,
ee5027,luận văn tốt nghiệp,9,l01,0/900,v,chưa/đang phân công,chưa biết,--,------,2,
ee5027,luận văn tốt nghiệp,9,t01,0/500,v,chưa/đang phân công,chưa biết,--,------,1,
ge2047,tb khai thác tbm&htđktđ,3,l01,14/60,v,trần nguyễn thiện tâm,thứ 4,- - - 4 5 - - - - - - - - - - -,h1-703,2,
ci4343,luận văn tốt nghiệp,9,a01,0/900,v,chưa/đang phân công,chưa biết,--,------,1,
ci4343,luận văn tốt nghiệp,9,cc01,0/900,v,chưa/đang phân công,chưa biết,--,------,1,
ci4343,luận văn tốt nghiệp,9,l01,4/900,v,chưa/đang phân công,chưa biết,--,------,2,
ci4343,luận văn tốt nghiệp,9,t01,2/500,v,chưa/đang phân công,chưa biết,--,------,1,
me3153,ky thuat dieu hoa k/khi,3,l01_l01,25/25,v,lê chí hiệp,,,,,
me3153,ky thuat dieu hoa k/khi,3,l01_l02,23/25,v,lê chí hiệp,,,,,
ee7147,luận án tiến sĩ - phần 2,15,ns01,0/200,v,chưa/đang phân công,chưa biết,--,------,1,
pe1017,cầu lông (học phần 1),0,cc01,40/60,v,chưa/đang phân công,thứ 6,- 2 3 4 - - - - - - - - - - - -,b12-san1,1,
pe1017,cầu lông (học phần 1),0,l01,53/60,v,chưa/đang phân công,thứ 6,- 2 3 4 - - - - - - - - - - - -,cs2-nhathidau-sa,2,
sp1031,triết học mác - lênin,3,a01,71/120,v,lê đức sơn,thứ 4,- 2 3 - - - - - - - - - - - - -,c4-503,1,
sp1031,triết học mác - lênin,3,a02,120/120,v,,thứ 3,- - - - 5 6 - - - - - - - - - -,b4-505,1,
sp1031,triết học mác - lênin,3,a03,89/120,v,nguyễn thị minh hương,thứ 2,- - - - 5 6 - - - - - - - - - -,c4-503,1,
sp1031,triết học mác - lênin,3,cc02,110/140,v,lê đức sơn,thứ 4,- - - 4 5 - - - - - - - - - - -,b6-gdb6,1,
sp1031,triết học mác - lênin,3,cc03,88/140,v,,thứ 2,- 2 3 - - - - - - - - - - - - -,c5-hoitruong,1,
sp1031,triết học mác - lênin,3,l01,118/140,v,lê đức sơn,thứ 5,- - - - - - 7 8 - - - - - - - -,h6-811,2,
sp1031,triết học mác - lênin,3,l02,101/140,v,lê đức sơn,thứ 5,- - - - - - - - 9 10 - - - - - -,h3-406,2,
sp1031,triết học mác - lênin,3,l03,114/140,v,,thứ 4,- 2 3 - - - - - - - - - - - - -,h2-301,2,
sp1031,triết học mác - lênin,3,l04,140/140,v,,thứ 4,- - - 4 5 - - - - - - - - - - -,h2-301,2,
sp1031,triết học mác - lênin,3,l05,126/140,v,,thứ 5,- - - 4 5 - - - - - - - - - - -,h3-301,2,
sp1031,triết học mác - lênin,3,l07,102/140,v,do thi cuong,thứ 4,- - - - - - - 8 9 - - - - - - -,h3-506,2,
sp1031,triết học mác - lênin,3,l08,91/140,v,do thi cuong,thứ 4,- - - - - - - - - 10 11 - - - - -,h3-406,2,
sp1031,triết học mác - lênin,3,l10,69/140,v,,thứ 5,- 2 3 - - - - - - - - - - - - -,h3-301,2,
im6051,luận văn thạc sĩ nghiên cứu chuyên sâu - phần 3,15,ch01,0/200,v,nguyễn văn tuấn,chưa biết,--,------,1,
ch4061,k/thuật đường ống bểchứa,3,cc01,18/60,v,trần hải ưng,thứ 4,- 2 3 - - - - - - - - - - - - -,a4-510,1,
ch4061,k/thuật đường ống bểchứa,3,l01,16/60,v,trần hải ưng,thứ 3,- - - - - - - - 9 10 - - - - - -,h3-503,2,
as5241,giải tích thực,3,ch01,4/40,v,,chưa biết,--,------,1,
co6041,luận văn thạc sĩ nghiên cứu chuyên sâu - phần 1,9,ch01,1/100,v,chưa/đang phân công,chưa biết,--,------,1,
ci4141,c/trình cấpthoátnước &tb,3,l01,19/60,v,nguyễn quang trường,,,,,
me5023,cơ sở biến dạng tạo hình kim loại,3,ch01,16/60,v,nguyễn thanh hải,thứ 3,- - - - - - - - - - - - 13 14 15 -,b4-401,1,
ge6039,luận văn thạc sĩ nghiên cứu,15,ch01,0/200,v,chưa/đang phân công,chưa biết,--,------,1,
ci2003,cơ lưu chất,3,a01_a01,25/25,v,duong thanh nga,,,,,
ci2003,cơ lưu chất,3,a01_a02,25/25,v,duong thanh nga,,,,,
ci2003,cơ lưu chất,3,cc01_cc01,25/25,v,trần thành long,,,,,
ci2003,cơ lưu chất,3,l01_l01,25/25,v,,,,,,
ci2003,cơ lưu chất,3,l01_l02,25/25,v,,,,,,
ci2003,cơ lưu chất,3,l01_l03,25/25,v,,,,,,
ci2003,cơ lưu chất,3,l02_l04,25/25,v,,,,,,
ci2003,cơ lưu chất,3,l02_l05,25/25,v,,,,,,
ci2003,cơ lưu chất,3,l02_l06,25/25,v,,,,,,
ci2003,cơ lưu chất,3,l03_l07,25/25,v,lê song giang,,,,,
ci2003,cơ lưu chất,3,l03_l08,25/25,v,lê song giang,,,,,
ci2003,cơ lưu chất,3,l03_l09,25/25,v,lê song giang,,,,,
ci2003,cơ lưu chất,3,l04_l10,25/25,v,lê song giang,,,,,
ci2003,cơ lưu chất,3,l04_l11,25/25,v,lê song giang,,,,,
ci2003,cơ lưu chất,3,l04_l12,25/25,v,lê song giang,,,,,
ci2003,cơ lưu chất,3,l05_l13,25/25,v,lê song giang,,,,,
ci2003,cơ lưu chất,3,l05_l14,25/25,v,lê song giang,,,,,
ci2003,cơ lưu chất,3,l05_l15,25/25,v,lê song giang,,,,,
ci2003,cơ lưu chất,3,l06_l16,24/25,v,lê song giang,,,,,
ci2003,cơ lưu chất,3,l06_l17,25/25,v,lê song giang,,,,,
ci2003,cơ lưu chất,3,tn01_tn01,20/20,v,duong thanh nga,,,,,
ci2003,cơ lưu chất,3,tn01_tn02,15/20,v,duong thanh nga,,,,,
ci2003,cơ lưu chất,3,tn01_tn03,17/20,v,duong thanh nga,,,,,
ge7067,địa kỹ thuật nâng cao,3,ch01,1/10,v,ngô tấn phong,chưa biết,--,------,1,
ci4167,đồ án chuyên ngành,2,a01,0/900,v,nguyễn ngọc thành,chưa biết,--,------,1,
ci4167,đồ án chuyên ngành,2,cc01,0/900,v,nguyễn ngọc thành,chưa biết,--,------,1,
ci4167,đồ án chuyên ngành,2,l01,6/40,v,nguyễn ngọc thành,chưa biết,--,------,2,
ci4167,đồ án chuyên ngành,2,t01,1/500,v,nguyễn ngọc thành,chưa biết,--,------,1,
ch6071,chuyên đề nghiên cứu trước luận văn,15,ch01,0/200,v,phạm hồ mỹ phương,chưa biết,--,------,1,
as6071,chuyên đề nghiên cứu trước luận văn,15,ch01,0/200,v,nguyễn thanh nhã,chưa biết,--,------,1,
co6047,luận văn thạc sĩ nghiên cứu chuyên sâu - phần 4,15,ch01,1/200,v,chưa/đang phân công,chưa biết,--,------,1,
im3091,phân tích &t/k chuỗi c/ứ,3,cc01,26/60,v,lê phước luông,thứ 3,- - - 4 5 - - - - - - - - - - -,b1-203,1,
im3091,phân tích &t/k chuỗi c/ứ,3,l01,59/60,v,lê phước luông,thứ 4,- 2 3 - - - - - - - - - - - - -,h2-305,2,
im3091,phân tích &t/k chuỗi c/ứ,3,l02,59/60,v,lê phước luông,thứ 4,- - - - 5 6 - - - - - - - - - -,h3-101,2,
ma7121,luận án tiến sĩ - phần 2,15,ns01,0/200,v,chưa/đang phân công,chưa biết,--,------,1,
me4725,đề cương luận văn tn,0,t01,1/500,v,chưa/đang phân công,chưa biết,--,------,1,
ch5615,tối ưu hóa và vận hành các quy trình công nghệ hóa học,3,ch01,3/50,v,nguyễn thành duy quang,chưa biết,--,------,1,
ee3015,kỹthuật hệthống viễnthôg,3,a01,20/80,v,lê tiến thường,thứ 3,- 2 3 - - - - - - - - - - - - -,b2-202,1,
ee3015,kỹthuật hệthống viễnthôg,3,l01,60/60,v,nguyễn chí ngọc,thứ 4,- - - - - - - - 9 10 - - - - - -,h1-804,2,
ge7197,luận án tiến sĩ - phần 4,15,ns01,0/200,v,chưa/đang phân công,chưa biết,--,------,1,
as3013,tính toán kết cấu,3,a01_a01,15/60,v,nguyễn thanh nhã,,,,,
ee5135,những thách thức trong hệ thống điện hiện đại,3,ch01,14/50,v,huỳnh quốc việt,thứ 2,- - - - - - - - - - - - 13 14 15 -,a4-410,1,
ge3175,hoànthiện giếng & kt vỉa,3,l01,3/60,v,lê nguyễn hải nam,chưa biết,--,------,2,
ee1029,cơ sở kt điện-máy tính,4,cc01_cc01,29/30,v,nguyễn lý thiên trường,,,,,
ee1029,cơ sở kt điện-máy tính,4,cc01_cc02,29/30,v,nguyễn lý thiên trường,,,,,
ee1029,cơ sở kt điện-máy tính,4,cc02_cc03,29/30,v,nguyễn lý thiên trường,,,,,
ee1029,cơ sở kt điện-máy tính,4,cc02_cc04,30/30,v,nguyễn lý thiên trường,,,,,
ee1029,cơ sở kt điện-máy tính,4,cc03_cc05,29/30,v,nguyễn lý thiên trường,,,,,
ee1029,cơ sở kt điện-máy tính,4,cc03_cc06,30/30,v,nguyễn lý thiên trường,,,,,
ee1029,cơ sở kt điện-máy tính,4,cc04_cc07,29/30,v,nguyễn lý thiên trường,,,,,
ee1029,cơ sở kt điện-máy tính,4,cc04_cc08,4/30,v,nguyễn lý thiên trường,,,,,
co5115,giải thuật nâng cao,3,ch01,53/60,v,nguyễn an khương,thứ 7,- - - - - - 7 8 9 - - - - - - -,b4-501,1,
co5115,giải thuật nâng cao,3,im01,30/40,ta,nguyễn an khương,thứ 4,- - - - - - - - - - - - 13 14 15 -,a4-506,1,
en5093,công nghệ màng trong kỹ thuật môi trường,3,ch01,7/60,v,bùi xuân thành,thứ 7,- - - - - - - - - 10 11 12 - - - -,b4-303,1,
ee4057,đồ án cơ sở ngành,2,a01,16/9000,v,,chưa biết,--,------,1,
ee4057,đồ án cơ sở ngành,2,cc01,0/900,v,chưa/đang phân công,chưa biết,--,------,1,
ee4057,đồ án cơ sở ngành,2,l01,0/900,v,chưa/đang phân công,chưa biết,--,------,2,
me4113,đồ án 1,2,a01,0/900,v,trịnh thị kim huệ,chưa biết,--,------,1,
me4113,đồ án 1,2,cc01,0/900,v,trịnh thị kim huệ,chưa biết,--,------,1,
me4113,đồ án 1,2,l01,5/100,v,bùi mai hương,chưa biết,--,------,2,
me4113,đồ án 1,2,t01,0/500,v,trịnh thị kim huệ,chưa biết,--,------,1,
me5199,thực tập doanh nghiệp,4,ch01,10/80,v,nguyễn quốc chí,chưa biết,--,------,1,
me4091,đề cương luận văn tn(ktn,0,a01,0/900,v,chưa/đang phân công,chưa biết,--,------,1,
me4091,đề cương luận văn tn(ktn,0,cc01,0/900,v,chưa/đang phân công,chưa biết,--,------,1,
me4091,đề cương luận văn tn(ktn,0,l01,1/100,v,chưa/đang phân công,chưa biết,--,------,2,
me4091,đề cương luận văn tn(ktn,0,t01,0/500,v,chưa/đang phân công,chưa biết,--,------,1,
co3111,t/tập đamh đa ngành-httt,1,a01,20/9000,v,,chưa biết,--,------,1,
co3111,t/tập đamh đa ngành-httt,1,cc01,49/9000,v,,chưa biết,--,------,1,
co3111,t/tập đamh đa ngành-httt,1,l01,114/9000,v,,chưa biết,--,------,2,
co3111,t/tập đamh đa ngành-httt,1,tn01,5/9000,v,,chưa biết,--,------,1,
ee7155,tiểu luận tổng quan,0,ns01,0/200,v,chưa/đang phân công,chưa biết,--,------,1,
me5001,đồ án chuyên ngành cđt,2,a01,1/500,v,nguyễn tấn tiến,chưa biết,--,------,1,
me5001,đồ án chuyên ngành cđt,2,t01,0/500,v,nguyễn tấn tiến,chưa biết,--,------,1,
ee7115,luận án tiến sĩ - phần 4,15,ns01,0/200,v,chưa/đang phân công,chưa biết,--,------,1,
ma3127,vật liệu siêu dẫn,3,a01_a01,6/60,v,trần việt toàn,,,,,
ch4353,luận văn tốt nghiệp(qttb,9,t01,0/500,v,bùi ngọc pha,chưa biết,--,------,1,
ch7617,tiểu luận tổng quan,0,ns01,2/200,v,trần văn nguyên,chưa biết,--,------,1,
ee4069,đồ án cơ sở ngành,2,a01,7/60,v,,chưa biết,--,------,1,
ee4069,đồ án cơ sở ngành,2,cc01,0/900,v,chưa/đang phân công,chưa biết,--,------,1,
ee4069,đồ án cơ sở ngành,2,l01,0/900,v,chưa/đang phân công,chưa biết,--,------,2,
tr5101,thực tập 1,3,ch01,0/80,v,trần đức,chưa biết,--,------,1,
ch6057,chuyên đề nghiên cứu trước luận văn,15,ch01,0/200,v,lê vũ hà,chưa biết,--,------,1,
me4673,luận văn tốt nghiệp(htcn,9,t01,0/500,v,nguyễn hữu phúc,chưa biết,--,------,1,
im6045,luận văn thạc sĩ nghiên cứu,15,ch01,0/200,v,nguyễn văn tuấn,chưa biết,--,------,1,
ee4009,đồ án 2 (đth),2,a01,0/900,v,chưa/đang phân công,chưa biết,--,------,1,
ee4009,đồ án 2 (đth),2,cc01,0/900,v,chưa/đang phân công,chưa biết,--,------,1,
ee4009,đồ án 2 (đth),2,l01,29/500,v,chưa/đang phân công,chưa biết,--,------,2,
ee4009,đồ án 2 (đth),2,t01,0/500,v,chưa/đang phân công,chưa biết,--,------,1,
ci7613,luận án tiến sĩ - phần 4,15,ns01,0/200,v,chưa/đang phân công,chưa biết,--,------,1,
co4043,đồ án chuyên ngành,2,a01,0/900,v,chưa/đang phân công,chưa biết,--,------,1,
co4043,đồ án chuyên ngành,2,cc01,0/900,v,chưa/đang phân công,chưa biết,--,------,1,
co4043,đồ án chuyên ngành,2,l01,0/500,v,chưa/đang phân công,chưa biết,--,------,2,
co4043,đồ án chuyên ngành,2,t01,0/500,v,chưa/đang phân công,chưa biết,--,------,1,
me3281,vật liệu học và xử lý,3,l01_l01,25/25,v,nguyễn hải đăng,,,,,
me3281,vật liệu học và xử lý,3,l01_l02,25/25,v,nguyễn hải đăng,,,,,
tr5097,thực tập,3,ch01,1/80,v,,chưa biết,--,------,1,
im7929,tiểu luận tổng quan,0,ns01,0/200,v,phạm ngọc trâm anh,chưa biết,--,------,1,
ci2163,phân ti?ch sự làm viê?c công trình,3,l01_l01,61/80,v,trần tiến đắc,,,,,
ci2163,phân ti?ch sự làm viê?c công trình,3,l02_l02,27/80,v,huỳnh ngọc thi,,,,,
me2157,k/soát &quảnlý chấtlượng,3,cc01_cc01,25/25,v,đỗ ngọc hiền,,,,,
me2157,k/soát &quảnlý chấtlượng,3,cc01_cc02,14/25,v,đỗ ngọc hiền,,,,,
me2157,k/soát &quảnlý chấtlượng,3,cc02_cc03,13/25,v,đỗ ngọc hiền,,,,,
me2157,k/soát &quảnlý chấtlượng,3,cc02_cc04,15/25,v,đỗ ngọc hiền,,,,,
me2157,k/soát &quảnlý chấtlượng,3,l01_l01,23/25,v,nguyễn thuỳ dương,,,,,
me2157,k/soát &quảnlý chấtlượng,3,l01_l02,25/25,v,nguyễn thuỳ dương,,,,,
me2157,k/soát &quảnlý chấtlượng,3,l02_l03,25/25,v,,,,,,
me2157,k/soát &quảnlý chấtlượng,3,l02_l04,21/25,v,,,,,,
ee5207,kiến trúc máy tính nâng cao,3,ch01,12/50,v,trần hoàng linh,chủ nhật,- - 3 4 5 - - - - - - - - - - -,b10-206,1,
me7311,luận án tiến sĩ - phần 4,15,ns01,0/200,v,chưa/đang phân công,chưa biết,--,------,1,
ma2043,cơ sở hóa học vật liệu,3,cc01_cc01,12/20,v,trần hoàng minh,,,,,
ma2043,cơ sở hóa học vật liệu,3,l01_l01,20/20,v,nguyễn vũ uyên nhi,,,,,
ma2043,cơ sở hóa học vật liệu,3,l01_l02,20/20,v,nguyễn vũ uyên nhi,,,,,
ma2043,cơ sở hóa học vật liệu,3,l01_l03,20/20,v,nguyễn vũ uyên nhi,,,,,
ma2043,cơ sở hóa học vật liệu,3,l02_l04,20/20,v,nguyễn vũ uyên nhi,,,,,
ma2043,cơ sở hóa học vật liệu,3,l02_l05,19/20,v,nguyễn vũ uyên nhi,,,,,
ma2043,cơ sở hóa học vật liệu,3,l02_l06,18/20,v,nguyễn vũ uyên nhi,,,,,
ma2043,cơ sở hóa học vật liệu,3,l03_l07,13/20,v,nguyễn vũ uyên nhi,,,,,
ma2043,cơ sở hóa học vật liệu,3,l03_l08,20/20,v,nguyễn vũ uyên nhi,,,,,
ma2043,cơ sở hóa học vật liệu,3,l03_l09,13/20,v,nguyễn vũ uyên nhi,,,,,
ci7693,chuyên đề tiến sĩ - phần 2,0,ns01,0/200,v,chưa/đang phân công,chưa biết,--,------,1,
ge4039,đồ án mônhọc ks-td&ppttl,1,a01,0/900,v,trần anh tú,chưa biết,--,------,1,
ge4039,đồ án mônhọc ks-td&ppttl,1,cc01,0/900,v,trần anh tú,chưa biết,--,------,1,
ge4039,đồ án mônhọc ks-td&ppttl,1,l01,8/9000,v,trần anh tú,chưa biết,--,------,2,
co5135,dữ liệu lớn,3,ch01,60/80,v,thoại nam,thứ 5,- - - - - - - - - - - - 13 14 15 -,b4-306,1,
co1031,đồ án kỹ thuật lập trình,1,l01,3/100,v,chưa/đang phân công,chưa biết,--,------,2,
ee6093,đề án tốt nghiệp,9,ch01,1/200,v,chưa/đang phân công,chưa biết,--,------,1,
ci6126,luận văn thạc sĩ nghiên cứu chuyên sâu - phần 2,15,ch01,0/200,v,chưa/đang phân công,chưa biết,--,------,1,
ci3003,trắc lượng ảnh,3,l01_l01,17/40,v,phan thị anh thư,,,,,
ch4113,kỹ thuật bao gói t/phẩm,3,l01,20/60,v,nguyễn thị quỳnh ngọc,thứ 4,- 2 3 - - - - - - - - - - - - -,h3-405,2,
ci5015,"c/tr xanh,k/g,a/t & a/s",3,a01,7/9000,v,trần công danh,chưa biết,--,------,1,
me4139,vi điều khiển,3,a01,30/60,v,phùng thanh huy,thứ 4,- - - - - - - - - - 11 12 - - - -,b4-401,1,
ci7643,luận án tiến sĩ - phần 1,15,ns01,0/200,v,chưa/đang phân công,chưa biết,--,------,1,
en6055,luận văn thạc sĩ nghiên cứu chuyên sâu - phần 3,15,ch01,2/200,v,chưa/đang phân công,chưa biết,--,------,1,
ge4033,nền móng công trình,3,l01,5/60,v,ngô tấn phong,thứ 4,- 2 3 - - - - - - - - - - - - -,h2-304,2,
me5095,sản xuất tinh gọn nâng cao,3,ch01,39/60,v,đỗ ngọc hiền,chủ nhật,- - - - - - - - - 10 11 12 - - - -,a4-510,1,
en3003,ud gis &vt trong qltn&mt,3,l01_l01,25/25,v,lưu đình hiệp,,,,,
en3003,ud gis &vt trong qltn&mt,3,l01_l02,8/25,v,lưu đình hiệp,,,,,
ge4323,luận văn tốt nghiệp (ddk,9,a01,0/900,v,phạm sơn tùng,chưa biết,--,------,1,
ge4323,luận văn tốt nghiệp (ddk,9,cc01,0/900,v,phạm sơn tùng,chưa biết,--,------,1,
ge4323,luận văn tốt nghiệp (ddk,9,l01,0/900,v,nguyễn xuân khá,chưa biết,--,------,2,
ge4323,luận văn tốt nghiệp (ddk,9,t01,0/500,v,nguyễn xuân khá,chưa biết,--,------,1,
me4675,đề cương luận văn tn,0,t01,0/500,v,nguyễn hữu phúc,chưa biết,--,------,1,
me7305,luận án tiến sĩ - phần 1,15,ns01,0/200,v,chưa/đang phân công,chưa biết,--,------,1,
iu4327,đồ án tốt nghiệp,4,a01,0/900,v,lê hoài phương,chưa biết,--,------,1,
iu4327,đồ án tốt nghiệp,4,cc01,0/900,v,lê hoài phương,chưa biết,--,------,1,
iu4327,đồ án tốt nghiệp,4,l01,18/9000,v,lê hoài phương,chưa biết,--,------,2,
iu4327,đồ án tốt nghiệp,4,t01,1/500,v,lê hoài phương,chưa biết,--,------,1,
ci3013,thủy văn đô thị,3,l01_l01,8/20,v,trần hải yến,,,,,
ci3013,thủy văn đô thị,3,l01_l02,7/20,v,trần hải yến,,,,,
ma2109,thực tập công nhân,2,a01,23/60,v,trần đức châu,chưa biết,--,------,1,
ma2109,thực tập công nhân,2,cc01,0/900,v,chưa/đang phân công,chưa biết,--,------,1,
ma2109,thực tập công nhân,2,l01,0/900,v,chưa/đang phân công,chưa biết,--,------,2,
ee4119,đồ án 2 (kt đtvt & tđh),2,a01,0/900,v,chưa/đang phân công,chưa biết,--,------,1,
ee4119,đồ án 2 (kt đtvt & tđh),2,cc01,0/900,v,chưa/đang phân công,chưa biết,--,------,1,
ee4119,đồ án 2 (kt đtvt & tđh),2,l01,0/900,v,chưa/đang phân công,chưa biết,--,------,2,
ee4119,đồ án 2 (kt đtvt & tđh),2,t01,0/500,v,chưa/đang phân công,chưa biết,--,------,1,
ch5611,nhiên liệu sinh học và nhiên liệu thay thế trong công nghiệp,3,ch01,6/20,v,đào thị kim thoa,chưa biết,--,------,1,
ci7677,luận án tiến sĩ - chuẩn bị,12,ns01,0/200,v,chưa/đang phân công,chưa biết,--,------,1,
as5255,cơ học phá hủy,3,ch01,3/40,v,trương tích thiện,chưa biết,--,------,1,
ma4341,đề cương luận văn tn,0,t01,0/500,v,lưu tuấn anh,chưa biết,--,------,1,
co7271,luận án tiến sĩ - chuẩn bị,12,ns01,0/200,v,chưa/đang phân công,chưa biết,--,------,1,
co3041,hệ thống thông minh,3,cc01,26/60,v,quản thành thơ,thứ 3,- 2 3 - - - - - - - - - - - - -,b4-302,1,
as7133,chuyên đề tiến sĩ - phần 2,0,ns01,0/200,v,,chưa biết,--,------,1,
ci7555,chuyên đề tiến sĩ - phần 1,0,ns01,0/200,v,chưa/đang phân công,chưa biết,--,------,1,
co4357,đồ án tốt nghiệp(cntt),4,t01,0/500,v,chưa/đang phân công,chưa biết,--,------,1,
ee3011,mạch điện tử thông tin,3,a01,23/60,v,hoàng mạnh hà,thứ 6,- 2 3 - - - - - - - - - - - - -,a4-506,1,
ee3011,mạch điện tử thông tin,3,l01,60/60,v,nguyễn văn hiếu,thứ 5,- 2 3 - - - - - - - - - - - - -,h3-103,2,
ee3011,mạch điện tử thông tin,3,l02,60/60,v,nguyễn văn hiếu,thứ 5,- - - 4 5 - - - - - - - - - - -,h1-310,2,
ee3011,mạch điện tử thông tin,3,l03,60/60,v,hoàng mạnh hà,thứ 2,- - - - - - - - 9 10 - - - - - -,h1-310,2,
ee3011,mạch điện tử thông tin,3,l04,39/60,v,hoàng mạnh hà,thứ 2,- - - - - - - - - - 11 12 - - - -,h2-405,2,
ee3011,mạch điện tử thông tin,3,l05,38/60,v,nguyễn văn hiếu,thứ 5,- - - - - - - - - - 11 12 - - - -,h3-206,2,
me2045,kinh tế kỹ thuật,3,cc01,79/80,v,nguyễn thuỳ dương,thứ 2,- - - 4 5 - - - - - - - - - - -,b4-501,1,
me2045,kinh tế kỹ thuật,3,l01,80/80,v,nguyễn hữu phúc,thứ 4,- - - - 5 6 - - - - - - - - - -,h3-107,2,
as2045,đồ án thiết kế cơ sở,1,a01,0/900,v,lê cao đăng,chưa biết,--,------,1,
as2045,đồ án thiết kế cơ sở,1,cc01,16/50,v,,thứ 5,- 2 3 - - - - - - - - - - - - -,a4-410,1,
as2045,đồ án thiết kế cơ sở,1,l01,40/50,v,lê cao đăng,thứ 5,- - - 4 5 - - - - - - - - - - -,h2-305,2,
ge7151,chuyên đề tiến sĩ - phần 2,0,ns01,0/200,v,chưa/đang phân công,chưa biết,--,------,1,
me5025,cơ sở kỹ thuật chế tạo,3,ch01,18/60,v,tôn thiện phương,,,,,
ci5115,ứng dụng tính toán mềm trong quản lý xây dựng,3,im01,5/40,ta,phạm vũ hồng sơn,thứ 7,- - 3 4 5 - - - - - - - - - - -,a4-408,1,
me6129,luận văn thạc sĩ nghiên cứu,15,ch01,0/200,v,chưa/đang phân công,chưa biết,--,------,1,
ee5193,xử lý số tín hiệu nâng cao,3,ch01,16/50,v,nguyễn quang nam,thứ 7,- - 3 4 5 - - - - - - - - - - -,b1-314,1,
ci2001,sức bền vật liệu,3,a01_a01,30/40,v,,,,,,
ci2001,sức bền vật liệu,3,cc01_cc01,40/40,v,cao văn vui,,,,,
ci2001,sức bền vật liệu,3,cc01_cc02,40/40,v,cao văn vui,,,,,
ci2001,sức bền vật liệu,3,cc02_cc03,40/40,v,nguyễn hồng ân,,,,,
ci2001,sức bền vật liệu,3,cc02_cc04,17/40,v,nguyễn hồng ân,,,,,
ci2001,sức bền vật liệu,3,l01_l01,40/40,v,nguyễn hồng ân,,,,,
ci2001,sức bền vật liệu,3,l01_l02,40/40,v,nguyễn hồng ân,,,,,
ci2001,sức bền vật liệu,3,l02_l03,34/40,v,,,,,,
ci2001,sức bền vật liệu,3,l02_l04,36/40,v,,,,,,
ci2001,sức bền vật liệu,3,l03_l05,40/40,v,cao văn vui,,,,,
ci2001,sức bền vật liệu,3,l03_l06,40/40,v,cao văn vui,,,,,
as2033,cảm biến &kỹthuật đolườg,3,cc01,21/80,v,,thứ 4,- - - - - - - 8 9 - - - - - - -,b1-211,1,
as2033,cảm biến &kỹthuật đolườg,3,l01,59/80,v,,thứ 6,- 2 3 - - - - - - - - - - - - -,h6-113,2,
ee6057,luận văn thạc sĩ nghiên cứu chuyên sâu - phần 1,9,ch01,0/200,v,chưa/đang phân công,chưa biết,--,------,1,
pe1051,quần vợt (học phần 2),0,l01,60/60,v,chưa/đang phân công,thứ 2,- - - - - - - - - 10 11 12 - - - -,tt the duc the t,2,
pe1051,quần vợt (học phần 2),0,l02,53/60,v,chưa/đang phân công,thứ 6,- 2 3 4 - - - - - - - - - - - -,tt the duc the t,2,
as4007,đồ án chuyên ngành (ckt),2,a01,3/60,v,nguyễn tường long,chưa biết,--,------,1,
as4007,đồ án chuyên ngành (ckt),2,cc01,0/900,v,nguyễn duy khương,chưa biết,--,------,1,
as4007,đồ án chuyên ngành (ckt),2,l01,21/60,v,nguyễn tường long,chưa biết,--,------,2,
as4007,đồ án chuyên ngành (ckt),2,t01,2/500,v,nguyễn tường long,chưa biết,--,------,1,
ch4377,đồ án tốt nghiệp,4,a01,0/900,v,hoàng mỹ dung,chưa biết,--,------,1,
ch4377,đồ án tốt nghiệp,4,cc01,13/9000,v,hoàng mỹ dung,chưa biết,--,------,1,
ch4377,đồ án tốt nghiệp,4,l01,25/9000,v,hoàng mỹ dung,chưa biết,--,------,2,
ch4377,đồ án tốt nghiệp,4,t01,0/500,v,hoàng mỹ dung,chưa biết,--,------,1,
ch6041,đề án tốt nghiệp,9,ch01,4/200,v,lê thị thủy tiên,chưa biết,--,------,1,
