code,name,credit,program,size,language,teacher,dayOfWeek,slot,room,branch,weeks
sk1003,kỹ năng quản lý bản thân,1,cc60,30/30,v,hồ yên thục,thứ 6,- - - - - - 7 8 9 - - - - - - -,c5-402,1,
sk1003,kỹ năng quản lý bản thân,1,cc61,30/30,v,trần văn hưng,thứ 2,- - - - - - - - - 10 11 12 - - - -,c5-402,1,
sk1003,kỹ năng quản lý bản thân,1,cc62,1/30,v,hồ yên thục,thứ 2,- - - - - - 7 8 9 - - - - - - -,c5-402,1,
sk1003,kỹ năng quản lý bản thân,1,cc63,1/30,v,nguyễn thị thảo trang,thứ 3,- - - - - - 7 8 9 - - - - - - -,c5-404,1,
ee4011,đồ án 2 (đvt),2,a01,1/900,v,chưa/đang phân công,chưa biết,--,------,1,
ee4011,đồ án 2 (đvt),2,cc01,0/900,v,chưa/đang phân công,chưa biết,--,------,1,
ee4011,đồ án 2 (đvt),2,l01,77/76,v,chưa/đang phân công,chưa biết,--,------,2,
ee4011,đồ án 2 (đvt),2,t01,0/500,v,chưa/đang phân công,chưa biết,--,------,1,
tr6033,luận văn thạc sĩ nghiên cứu chuyên sâu - phần 4,15,ch01,0/200,v,trần đăng long,chưa biết,--,------,1,
en5167,thực tập chuyên ngành,3,ch01,1/80,v,phan thanh lâm,chưa biết,--,------,1,
sk1001,kn giao tiếp hiệu quả,0,cc01,21/30,v,hồ yên thục,thứ 2,- - - - - - - - - 10 11 12 - - - -,c5-501,1,
sk1001,kn giao tiếp hiệu quả,0,cc02,31/30,v,nguyễn quang thuận,thứ 3,- - 3 4 5 - - - - - - - - - - -,c4-302,1,
sk1001,kn giao tiếp hiệu quả,0,cc03,7/30,v,hồ yên thục,thứ 5,- - - - - - 7 8 9 - - - - - - -,a4-506,1,
ee5113,máy học và ứng dụng,3,ch01,19/60,v,,thứ 7,- - - - - - 7 8 9 - - - - - - -,b4-302,1,
im5071,quản lý đổi mới trong tổ chức,3,ch01,16/40,v,nguyễn thị đức nguyên,thứ 4,- - - - - - - - - - - - 13 14 15 -,a4-507,1,
as4011,đồ án chuyên ngành trong khoa học dữ liệu,2,t01,0/500,v,phan thị khánh vân,chưa biết,--,------,1,
